ccode,country,regimetype,gini,elf,literacy,agriculture_pc,fdi,gdp_pc,poverty_pct,businessburden
4,Afghanistan,Direct Presidential,,0.668,29,45.158478,0,628.40741,,90
8,Albania,Parliamentary,,0.064,85,26.311623,3.0341351,4954.1982,8.7600002,41
12,Algeria,Direct Presidential,38.73,0.299,57,10.003598,1.8666841,6349.7207,23.610001,24
20,Andorra,,,,,,,,,
24,Angola,Direct Presidential,,0.783,42,7.8531699,14.62676,2856.7517,70.209999,119
28,Antigua and Barbuda,,,,,3.7893004,9.2308321,13981.979,,31
31,Azerbaijan,Direct Presidential,,0.31,93,15.17135,22.328667,2980.8616,27.110001,105
32,Argentina,Direct Presidential,,0.288,95,10.683021,2.1059394,8584.8857,19.73,67
36,Australia,Parliamentary,41.72,0.437,99,4.4387946,4.4140363,32201.223,,2
40,Austria,Parliamentary,,0.153,99,1.9516603,0.154467,32082.717,,28
44,Bahamas,Parliamentary,45.29,0.408,99,2.3334277,2.584269,,,31
48,Bahrain,Direct Presidential,,0.501,77,0.86294663,2.5554376,24506.488,,50
50,Bangladesh,Parliamentary,28.27,0.043,35,22.730417,0.11002361,947.52539,85.419998,50
51,Armenia,Direct Presidential,39.39,0.128,93,25.961899,4.6600628,2860.0654,46.740002,19
52,Barbados,Parliamentary,48.86,0.077,99,3.762912,0.70271796,19188.641,,
56,Belgium,Parliamentary,26.917,0.589,99,1.1798373,7.1781344,30687.727,,56
64,Bhutan,Direct Presidential,,0.563,38,26.981548,0.05831357,2944.5393,49.490002,62
68,Bolivia,Direct Presidential,42.04,0.74,77,14.898786,8.55826,3401.927,34.169998,60
70,Bosnia and Herzegovina,Parliamentary,,0.701,,10.16497,4.0506449,5058.2441,2,59
72,Botswana,Parliamentary,54.21,0.399,74,2.3782082,6.7992172,10565.039,,108
76,Brazil,Direct Presidential,59.6,0.576,81,6.6177111,3.2902629,8009.999,21.32,152
84,Belize,Parliamentary,,,95,14.772046,2.7219214,5840.0449,23.049999,45
90,Solomon Islands,Parliamentary,,0.954,51,37.726349,-0.13645627,1886.0121,,57
96,Brunei,Direct Presidential,,0.54,86,1.0935692,4.0084119,48585.727,,116
100,Bulgaria,Parliamentary,34.42,0.225,93,12.231855,5.7989435,7164.1074,2.3499999,32
104,Myanmar,Direct Presidential,,0.421,81,54.52832,,,,
108,Burundi,Direct Presidential,,0.313,50,40.533089,0.00015921,355.01443,93.449997,43
112,Belarus,Direct Presidential,28.526,0.374,95,11.775276,1.6930542,6443.0884,2,79
116,Cambodia,Parliamentary,,0.238,35,32.870781,3.3873813,1124.0275,68.199997,94
120,Cameroon,Direct Presidential,49,0.879,54,22.136318,5.5308695,1899.6725,57.68,44
124,Canada,Parliamentary,27.65,0.769,99,2.1793358,3.0017917,33366.473,,3
132,Cape Verde,Direct Presidential,,0.546,66,7.0637121,2.4028599,2381.4192,40.220001,52
140,Central African Republic,Direct Presidential,55,0.826,38,54.306828,0.54169106,726.32996,81.900002,14
144,Sri Lanka,Direct Presidential,30.1,0.422,88,14.279323,1.1489488,3105.6875,39.740002,58
148,Chad,Direct Presidential,,0.856,30,39.443272,46.484859,827.56604,83.279999,75
152,Chile,Direct Presidential,56.49,0.515,93,5.7307568,3.790839,10806.799,5.3400002,27
156,China,Assembly President,37.8,0.131,73,13.742732,3.391597,3104.2495,51.130371,48
158,Taiwan,Direct Presidential,30.78,0.274,89,,,,,
170,Colombia,Direct Presidential,51.32,0.596,87,10.876875,2.3001273,6520.7563,26.27,60
174,Comoros,Direct Presidential,,0.084,55,50.151787,0.17120337,1127.1095,64.959999,23
178,Congo,Direct Presidential,,0.684,57,6.26158,10.9653,3343.7783,74.400002,37
180,"Congo, Democratic Republic",Direct Presidential,,0.902,72,51.005123,2.4654934,242.76035,79.550003,188
188,Costa Rica,Direct Presidential,46.07,0.458,93,8.5358467,3.9143951,8089.6753,11.49,77
191,Croatia,Parliamentary,,0.416,93,8.2245893,4.1541138,12521.621,2,29
192,Cuba,Assembly President,,0.638,94,6.4038019,,,,
196,Cyprus,Direct Presidential,,0.329,87,3.734117,10.450936,22148,,8
203,Czech Republic,Parliamentary,28.256,0.107,97,3.3198786,11.287264,17746.848,2,40
204,Benin,Direct Presidential,,0.525,23,33.760925,0.48116425,1313.5803,75.32,32
208,Denmark,Parliamentary,33.2023,0.061,99,2.20332,2.5481262,31817.744,,7
212,Dominica,,,,,17.741852,7.8911366,6501.2612,,19
214,Dominican Republic,Direct Presidential,49,0.483,83,7.2098475,3.4504559,5875.6128,16.299999,77
218,Ecuador,Direct Presidential,43,0.657,86,7.0325718,5.1217828,5878.0532,22.4,92
222,El Salvador,Direct Presidential,48.4,0.159,73,9.1437063,3.2851741,5349.9224,23.700001,115
226,Equatorial Guinea,Direct Presidential,,0.465,50,6.3687048,145.20189,15591.752,,136
231,Ethiopia,Parliamentary,44.2,0.766,50,43.510395,3.273617,550.50922,86.410004,44
232,Eritrea,Assembly President,,0.645,,16.4,2.9608572,710.41687,,91
233,Estonia,Assembly President,36.6255,0.528,96,4.1715755,3.8845487,12990.247,2.55,72
242,Fiji,Parliamentary,42.5,0.684,87,15.317361,1.6179594,4026.1792,,45
246,Finland,Parliamentary,26.1118,0.129,99,3.3475301,6.1151056,28485.59,,31
250,France,Parliamentary,34.9145,0.318,99,2.7046084,3.4013448,28865.418,,41
262,Djibouti,Direct Presidential,38.1,0.713,19,3.5818286,0.5920943,1763.9575,41.169998,37
266,Gabon,Direct Presidential,63.18,0.808,61,6.0863495,0.79014897,12935.227,19.57,46
268,Georgia,Direct Presidential,,0.493,93,20.610352,4.7179751,2640.2195,34.200001,25
270,Gambia,Direct Presidential,39,0.716,27,27.592176,11.583167,1041.4624,56.700001,27
276,Germany,Parliamentary,32.195,0.111,99,1.1462919,2.6577775,30817.945,,45
288,Ghana,Direct Presidential,33.91,0.874,60,35.148376,0.956236,1085.2445,53.610001,85
296,Kiribati,,,,,24.518436,,2177.0339,,21
300,Greece,Parliamentary,35.19,0.085,93,5.882894,0.0360012,22101.658,,38
308,Grenada,Parliamentary,,,,9.4552975,12.461751,7086.5645,,52
320,Guatemala,Direct Presidential,59.06,0.758,55,15.174913,0.53241014,4010.365,29.76,39
324,Guinea,Direct Presidential,40.4,0.751,24,22.490004,0.982526,907.40198,87.230003,49
328,Guyana,Assembly President,40.22,0.57,96,30.823185,6.0349288,2487.9373,16.809999,46
332,Haiti,Direct Presidential,,0.011,53,,0.17731421,1083.5981,72.150002,202
340,Honduras,Direct Presidential,54,0.12,73,13.452054,2.2563028,2949.1646,33.439999,62
348,Hungary,Parliamentary,27.94,0.013,97,4.648653,4.5304623,14838.338,2,52
352,Iceland,Parliamentary,,0.033,99,8.8699055,1.0393426,30365.785,,5
356,India,Parliamentary,32.02,0.878,48,20.87454,1.1092569,1817.2101,75.598534,89
360,Indonesia,Assembly President,31.69,0.757,82,15.456451,0.07415164,2875.1145,53.766224,168
364,Iran,Direct Presidential,42.9,0.75,54,12.035842,0.47070614,8277.5361,8.0299997,29
368,Iraq,Direct Presidential,,0.375,60,8.9969511,,,,77
372,Ireland,Parliamentary,34.6,0.029,99,2.6307445,24.059238,35073.676,,18
376,Israel,Parliamentary,,0.287,95,,1.6897581,22024.729,,34
380,Italy,Parliamentary,32.19,0.114,97,2.5649066,1.2059156,28242.014,,23
384,Cote d'Ivoire,Direct Presidential,38,0.896,54,25.654287,1.8510956,1636.9901,46.779999,62
388,Jamaica,Parliamentary,37.92,0.424,98,6.2643318,4.9685364,6613.6802,8.7399998,31
392,Japan,Parliamentary,35,0.014,99,1.7222146,0.23191589,28611.072,,31
398,Kazakhstan,Direct Presidential,32.67,0.692,93,8.6160107,10.513698,6748.0405,21.530001,26
400,Jordan,Direct Presidential,40.66,0.455,80,2.5461521,1.2685419,3819.6152,11.03,79
404,Kenya,Direct Presidential,54.39,0.882,69,29.130613,0.21003798,1263.6609,39.919998,60
408,"Korea, North",Assembly President,,0.004,95,,,,,
